INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN;PRO;PROAM;AM;AMG;PRIO;SPEZIAL
0001;3;Andl;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2:06:54.044;12;1:56:05.020;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;;Porsche 911 GT3 R;1;1;;;1;;;27;7:56.296;4:02:59.064;Y;;;;;162.397;2;12:16:15;184.106;;3;0;2;1;0;3;7:56.296;Andlauer/Sturm Joel;Andlauer/Sturm Joel;184.106;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;100.00;8:20.446;3;7;3:02.402;15;3:14.426;9:13.786;1.;116.;;42330       ;Porsche                       ;2;;;26;27;1;0;;0;0;0;0;0;0
0002;4;Hein;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Heinemann;Tim;Fichtenberg;;;DE-ITC-C24805;;;Leuchter;Benjamin;Duisburg;;;DE-ITC-C16400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2:53:32.966;8;1:10:52.835;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;;Porsche 911 GT3 R;2;2;+1:26.737;+1:26.737;2;+1:26.737;+1:26.737;27;7:56.915;4:04:25.801;Y;1:26.737;1:26.737;;;161.437;2;12:16:19;183.867;;3;0;2;1;0;3;7:56.296;Andlauer/Sturm Joel;Andlauer/Sturm Joel;184.106;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;100.59 ;8:20.032;3;6;2:43.341;14;3:14.427;9:23.818;5.;112.;;42330       ;Porsche                       ;1;;;0;0;1;0;;0;0;0;0;0;0
0003;48;Kaya;SP9 AM                                                      ;0000SP9 AM                                                      ;SP9 AM;;1;1;Kaya;Mustafa Mehmet;Türkei;;;TR-ITB 0101042502658;;;Stursberg;Mike;Wermelskirchen;;;DE-ITC-C30671;;;Müller;Tobias;Euskirchen;;;DE-ITC-C14395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1:04:54.862;13;2:04:16.824;7;56:36.320;;00.000;;00.000;;00.000;;00.000;;00.000;    ;BLACK FALCON Team EAE;;Porsche 911 GT3 R;3;1;;;3;+2:48.942;+1:22.205;27;7:56.040;4:05:48.006;Y;2:48.942;1:22.205;;;160.537;5;12:40:26;184.205;;4;0;3;1;0;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;101.16 ;8:27.695;4;7;3:05.244;14;2:56.880;9:18.417;2.;115.;;51399       ;Porsche                       ;2;;;0;27;1;0;;0;0;0;0;0;0
0004;34;Krog;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Krognes;Christian;Norwegen;;;NO-31791;;;Villagomez;Mateo;Lyon;;;EC-1720287810;;;Buchardt;Anders;Norwegen;;;NO-ITC-C39200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2:14:15.982;8;1:12:01.582;4;40:43.996;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Walkenhorst Motorsport;;Aston Martin Vantage GT3 EVO;4;1;;;4;+4:02.496;+1:13.554;27;8:00.952;4:07:01.560;Y;4:02.496;1:13.554;;;159.740;5;12:40:59;182.323;;3;0;2;1;0;34;8:00.952;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;182.323;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;101.66 ;8:14.382;4;6;2:46.310;14;3:16.389;9:34.990;7.;110.;;38245       ;Aston Martin                  ;1;;;0;10;1;0;;0;0;0;0;0;0
0005;44;Goro;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Goroyan;Artur;Vereinigte Arabische Emirate;;;AM-ITC001ARM;;;Fontana;Alex;Schweiz;;;CH-IB816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;33:21.918;24;3:35:54.355;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Car Collection Motorsport;;Porsche 911 GT3 R;5;2;+2:14.713;+2:14.713;5;+6:17.209;+2:14.713;27;8:02.551;4:09:16.273;Y;6:17.209;2:14.713;;;158.301;2;12:16:33;181.719;;3;0;2;1;0;34;8:00.952;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;182.323;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;102.59 ;8:56.983;4;7;3:05.284;15;3:21.506;9:21.885;3.;114.;;38067       ;Porsche                       ;2;;;0;16;1;0;;0;0;0;0;0;0
0006;786;Nana;SP9 AM                                                      ;0000SP9 AM                                                      ;SP9 AM;;1;1;Nana;Sak;Mechernich;;;TH-IC-B083;;;Breuer;Christoph;Nettersheim;;;DE-ITC-C15557;;;'Dieter Schmidtmann';;Mechernich;;;DE-ITC-C34841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;43:15.212;17;2:37:13.853;5;49:48.424;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Renazzo Motorsport Team;;Lamborghini Huracan GT3 Evo II;6;2;+4:29.483;+4:29.483;6;+7:18.425;+1:01.216;27;8:09.143;4:10:17.489;Y;7:18.425;1:01.216;;;157.656;10;13:27:48;179.270;;4;0;3;1;0;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;103.01 ;8:49.511;3;5;2:25.358;13;3:17.208;9:56.023;16.;101.;;E-C-009     ;Lamborghini                   ;2;;;0;0;1;0;;0;0;0;0;0;0
0007;948;Müll;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Müller;Tobias;Euskirchen;;;DE-ITC-C14395;;;Nagelsdiek;Noah;Alsdorf;;PRO;DE-ITC-C24641;;;Rivas;Carlos;Luxemburg;;;LU-A1343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1:15:54.152;11;1:36:03.390;8;1:18:50.106;;00.000;;00.000;;00.000;;00.000;;00.000;    ;48 LOSCH Motorsport by BLACK FALCON;;Porsche 911 GT3 Cup;7;1;;;7;+7:48.584;+30.159;27;8:19.143;4:10:47.648;Y;7:48.584;30.159;;;157.340;10;13:27:22;175.679;;10;0;8;2;0;921;8:16.109;Hoffmeister/Jahn David/Scheerbarth Tim;Hoffmeister/Jahn David/Scheerbarth Tim;176.753;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;103.21 ;9:07.468;3;5;2:21.419;11;2:31.475;9:36.054;8.;109.;;A1754       ;Porsche                       ;3;;;0;9;1;0;;1;0;0;0;0;0
0008;921;Hoff;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Hoffmeister;Arne;Langelsheim;;"H&R Spezialfedern";DE-ITC-C19194;;;Jahn;David;Leipzig;;PRO;DE-ITC-C49468;;;Scheerbarth;Tim;Dormagen;;;DE-ITC-C26218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1:07:35.944;11;1:35:44.988;9;1:27:46.902;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mühlner Motorsport;;Porsche 911 GT3 Cup;8;2;+20.186;+20.186;8;+8:08.770;+20.186;27;8:16.109;4:11:07.834;Y;8:08.770;20.186;;;157.129;2;12:16:58;176.753;;10;0;8;2;0;921;8:16.109;Hoffmeister/Jahn David/Scheerbarth Tim;Hoffmeister/Jahn David/Scheerbarth Tim;176.753;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;103.35 ;9:03.482;3;5;2:20.627;11;2:33.216;9:45.422;11.;106.;;910354      ;Porsche                       ;1;;;0;13;1;0;;1;0;0;0;0;0
0009;50;Heim;SP9 AM                                                      ;0000SP9 AM                                                      ;SP9 AM;;1;1;Heimrich;Michael;Oberursel/Ts.;;;DE-ITC-C20178;;;Klasen;Arno;Karlshausen;;;DE-ITC-C25715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1:15:24.720;18;2:49:30.757;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;équipe vitesse;;Audi R8 LMS GT3;9;3; 1 Rd.; 1 Rd.;9; 1 Rd.; 1 Rd.;26;8:11.399;4:04:55.477;Y;1 Runde;1 Runde;;;155.144;5;12:41:50;178.447;;4;0;3;1;0;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;100.80 ;8:42.930;4;7;3:14.237;15;3:16.812;9:54.159;14.;103.;;42062       ;Audi                          ;2;;;0;0;1;0;;0;0;0;0;0;0
0010;901;Grüt;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Grütter;Patrik;Weil der Stadt;;;DE-ITC-C12547;;;Grosse;Fabio;Brücktal;;PRO/AM;DE-ITC-C25836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2:45:45.364;8;1:21:35.786;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;SRS Team Sorg Rennsport;;Porsche 911 GT3 Cup;10;3; 1 Rd.; 1 Rd.;10; 1 Rd.;+2:25.673;26;8:28.144;4:07:21.150;Y;1 Runde;2:25.673;;;153.621;2;12:17:24;172.567;;10;0;8;2;0;921;8:16.109;Hoffmeister/Jahn David/Scheerbarth Tim;Hoffmeister/Jahn David/Scheerbarth Tim;176.753;;1;39;30;9;48;7:56.040;Kaya/Stursberg Mike/Müller Tobias;Kaya/Stursberg Mike/Müller Tobias;184.205;101.80 ;9:23.478;4;5;2:21.348;12;2:50.798;9:41.483;9.;108.;;38068       ;Porsche                       ;1;;;0;0;1;0;;0;1;0;0;0;0
