STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;AM;AMG;PRIO;SPEZIAL;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Mark;1;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;1;8:44:51.630;08:44:51.630;11:05.733;665,733;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:26.839;N;184;;1:30.713;N;151;;2:44.614;N;164;;4:21.177;N;179;;1:02.390;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:54.240;53;N;0;;41637       ;;1;0;0;0;0;0;0;0;1;1;10:54.240
1;Mark;1;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;2;8:55:45.870;08:55:45.870;10:54.240;654,240;J;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:26.113;J;198;;1:28.516;J;152;;2:42.146;J;164;;4:15.981;J;180;;1:01.484;J;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:54.240;53;N;0;;41637       ;;2;0;0;0;0;0;0;0;1;2;10:54.240
1;Mark;3;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;3;9:12:29.714;09:12:29.714;11:15.129;675,129;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:27.844;N;201;;1:31.346;N;151;;2:46.373;N;164;;4:25.326;N;175;;1:04.240;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:54.240;53;N;0;;41637       ;;3;0;0;0;0;0;0;0;1;3;10:54.240
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;1;8:44:21.511;08:44:21.511;9:43.385;583,385;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:15.038;N;229;;1:19.878;N;165;;2:25.372;N;197;;3:48.095;N;207;;55.002;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;1;0;0;0;0;0;0;0;1;1;9:07.336
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;2;8:53:49.772;08:53:49.772;9:28.261;568,261;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:14.319;N;230;;1:18.083;N;171;;2:22.423;N;197;;3:38.995;N;213;;54.441;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;2;0;0;0;0;0;0;0;1;2;9:07.336
3;Andl;2;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;3;9:09:50.423;09:09:50.423;9:36.216;576,216;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:15.197;N;229;;1:19.233;N;176;;2:22.934;N;195;;3:45.057;N;209;;53.795;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;3;0;0;0;0;0;0;0;1;3;9:07.336
3;Andl;2;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;4;9:19:19.195;09:19:19.195;9:28.772;568,772;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:14.006;N;232;;1:17.689;N;179;;2:20.906;N;196;;3:42.506;N;209;;53.665;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;4;0;0;0;0;0;0;0;2;1;9:07.336
3;Andl;2;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;5;9:33:53.337;09:33:53.337;9:20.982;560,982;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:14.032;N;231;;1:16.408;N;186;;2:18.924;J;198;;3:37.190;N;211;;54.428;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;5;0;0;0;0;0;0;0;2;2;9:07.336
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;6;9:59:39.614;09:59:39.614;9:19.979;559,979;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:12.909;N;232;;1:15.336;N;182;;2:26.564;N;199;;3:32.329;N;216;;52.841;J;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;6;0;0;0;0;0;0;0;3;1;9:07.336
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;7;10:08:53.400;10:08:53.400;9:13.786;553,786;J;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:12.475;J;233;;1:14.113;J;192;;2:24.930;N;199;;3:28.983;J;214;;53.285;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:07.336;1;N;0;;42330       ;;7;0;0;0;0;0;0;0;4;1;9:07.336
