STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;AM;AMG;PRIO;SPEZIAL;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Mark;1;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;1;8:41:14.182;08:41:14.182;11:05.320;665,320;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:26.928;N;200;;1:29.372;N;153;;2:44.527;N;164;;4:22.645;N;179;;1:01.848;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;1;0;0;0;0;0;0;0;1;1;10:10.001
1;Mark;1;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;2;8:52:01.543;08:52:01.543;10:47.361;647,361;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:24.422;N;200;;1:27.276;N;158;;2:41.157;N;167;;4:14.477;N;182;;1:00.029;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;2;0;0;0;0;0;0;0;1;2;10:10.001
1;Mark;3;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;3;9:08:26.311;09:08:26.311;10:59.237;659,237;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:27.219;N;200;;1:28.595;N;155;;2:43.491;N;167;;4:19.418;N;181;;1:00.514;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;3;0;0;0;0;0;0;0;1;3;10:10.001
1;Mark;3;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;4;9:19:09.959;09:19:09.959;10:43.648;643,648;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:25.197;N;202;;1:27.228;N;158;;2:39.209;N;169;;4:11.871;N;182;;1:00.143;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;4;0;0;0;0;0;0;0;2;1;10:10.001
1;Mark;2;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;5;9:38:22.285;09:38:22.285;11:03.663;663,663;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:27.448;N;193;;1:29.984;N;150;;2:44.696;N;168;;4:20.874;N;176;;1:00.661;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;5;0;0;0;0;0;0;0;2;2;10:10.001
1;Mark;2;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;6;9:49:11.311;09:49:11.311;10:49.026;649,026;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:26.232;N;201;;1:27.017;N;153;;2:41.794;N;169;;4:14.164;N;179;;59.819;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;6;0;0;0;0;0;0;0;3;1;10:10.001
1;Mark;1;Markert;Sven;Berlin;;"ADAC Berlin-Brandenburg e.V.";DE-ITC-C13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;7;10:04:42.996;10:04:42.996;10:10.001;610,001;J;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:23.152;J;204;;1:22.392;J;172;;2:33.014;J;171;;3:53.826;J;191;;57.617;J;;;;;;;;;;;;;;;;;;;;N;;N;;N;10:10.001;44;N;0;;41637       ;;7;0;0;0;0;0;0;0;3;2;10:10.001
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;1;8:55:10.723;08:55:10.723;9:22.437;562,437;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:13.235;N;232;;1:16.708;N;177;;2:21.451;N;197;;3:37.964;N;210;;53.079;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;8:52.979;3;N;0;;42330       ;;1;0;0;0;0;0;0;0;1;1;8:52.979
3;Andl;1;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;2;9:04:19.943;09:04:19.943;9:09.220;549,220;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:13.020;N;231;;1:15.217;N;180;;2:16.741;N;199;;3:31.327;N;211;;52.915;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;8:52.979;3;N;0;;42330       ;;2;0;0;0;0;0;0;0;1;2;8:52.979
3;Andl;2;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;3;9:58:47.835;09:58:47.835;8:53.274;533,274;J;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:11.864;J;231;;1:11.703;J;197;;2:12.022;J;197;;3:25.513;J;208;;52.172;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;8:52.979;3;N;0;;42330       ;;3;0;0;0;0;0;0;0;2;1;8:52.979
3;Andl;2;Andlauer;Julien;Frankreich;;;FR-ICCB256472;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;4;10:07:52.431;10:07:52.431;9:04.596;544,596;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:15.171;N;227;;1:14.396;N;195;;2:16.617;N;198;;3:26.535;N;211;;51.877;J;;;;;;;;;;;;;;;;;;;;N;;N;;N;8:52.979;3;N;0;;42330       ;;4;0;0;0;0;0;0;0;3;1;8:52.979
4;Hein;1;Heinemann;Tim;Fichtenberg;;;DE-ITC-C24805;;;Leuchter;Benjamin;Duisburg;;;DE-ITC-C16400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Falken Motorsports;;Porsche 911 GT3 R;1;8:55:33.338;08:55:33.338;9:17.905;557,905;N;SP9 PRO                                                     ;0000SP9 PRO                                                     ;;SP9 PRO ;1:13.783;N;228;;1:16.473;N;180;;2:19.301;N;194;;3:35.027;N;213;;53.321;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;8:53.907;4;N;0;;42330       ;;1;0;0;0;0;0;0;0;1;1;8:53.907
