INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN;PRO;PROAM;AM;AMG;PRIO;SPEZIAL
0001;34;Krog;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Krognes;Christian;Norwegen;;;NO-31791;;;Villagomez;Mateo;Lyon;;;EC-1720287810;;;Buchardt;Anders;Norwegen;;;NO-ITC-C39200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Walkenhorst Motorsport;;Aston Martin Vantage AMR GT3 EVO;1;1;;;1;;;5;8:06.057;8:06.057;Y;;;;;10:07:01;3690;10:07:01;180.408;;2;0;2;0;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;100.00;8:06.057;2;2;10:26.845;6;;;;;;38245       ;Aston Martin                  ;1;;;2;5;1;0;;0;0;0;0;0;0
0002;8;Vere;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Veremenko;Alexey;Kaltenborn;;;DE-ITC-C25824;;;'SELV';;Kaltenborn;;;KG-ITC-C-25017;;;Stippler;Frank;Wird nachgeliefert;;;DE-ITC-C18797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;00.000;;00.000;1;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;JUTA RACING;;Audi R8 LMS GT3;2;2;+02.119;+02.119;2;+02.119;+02.119;4;8:08.176;8:08.176;Y;02.119;02.119;;;10:07:39;3721;10:07:39;179.625;;2;0;2;0;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;100.44 ;8:08.176;3;2;4:49.603;3;7:09.191;;;;;2025-PA/50  ;Audi                          ;3;;;0;0;1;0;;0;0;0;0;0;0
0003;31;Vers;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Verstappen;Max;Monaco;;;NL-ITA-1;;;Lulham;Christopher;Vereinigtes Königreich;;;GB-ITC-C246085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;EMIL FREY RACING;;Ferrari 296 GT3;3;1;;;3;+03.069;+00.950;5;8:09.126;8:09.126;Y;03.069;00.950;;;10:06:14;3646;10:06:14;179.277;;4;0;4;0;0;31;8:09.126;Verstappen/Lulham Christopher;Verstappen/Lulham Christopher;179.277;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;100.63 ;8:09.126;6;3;;3;4:09.320;;;;;103         ;Ferrari                       ;1;;;3;3;1;0;;0;0;0;0;0;0
0004;917;Kiki;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Kikireshko;Oleksii;tba;;;UA-ITC-C28.0025.25;;;Bastian;Nico;Mannheim;;PRO;DE-ITC-C48839;;;Heinemann;Tim;Fichtenberg;;;DE-ITC-C24805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;;00.000;3;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Speedworxx Automotive;;Porsche 911 GT3 Cup;4;1;;;4;+10.694;+07.625;3;8:16.751;8:16.751;N;10.694;07.625;;;10:08:12;3744;10:08:12;176.525;;13;0;13;0;0;917;8:16.751;Kikireshko/Bastian Nico/Heinemann Tim;Kikireshko/Bastian Nico/Heinemann Tim;176.525;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.20 ;8:16.751;2;2;6:10.075;4;;;;;;FOLGT       ;Porsche                       ;3;;;0;2;1;0;;1;0;0;0;0;0
0005;54;Buus;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Buus;Bastian;Kolding;;;DK-59991;;;Sturm;Joel;Brühl;;;DE-ITB38384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;4;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Dinamic GT;;Porsche 911 GT3 R;5;2;+07.842;+07.842;5;+10.911;+00.217;4;8:16.968;8:16.968;Y;10.911;00.217;;;10:03:52;3553;10:03:52;176.448;;4;0;4;0;0;31;8:09.126;Verstappen/Lulham Christopher;Verstappen/Lulham Christopher;179.277;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.24 ;8:16.968;3;2;5:02.302;3;12:21.089;;;;;498633      ;Porsche                       ;2;;;2;3;1;0;;0;0;0;0;0;0
0006;22;Fuge;AT 1                                                        ;0000AT 1                                                        ;AT 1;;1;1;Fugel;Dominik;Chemnitz;;;DE-ITC-C17248;;;Fugel;Marcel;Chemnitz;;;DE-ITC-C17852;;;Leuchter;Benjamin;Duisburg;;;DE-ITC-C16400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;00.000;;00.000;3;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Max Kruse Racing;;Audi R8 LMS GT3 Evo II;6;1;;;6;+11.468;+00.557;4;8:17.525;8:17.525;Y;11.468;00.557;;;10:02:57;3512;10:02:57;176.250;;1;0;1;0;0;22;8:17.525;Fugel/Fugel Marcel/Leuchter Benjamin;Fugel/Fugel Marcel/Leuchter Benjamin;176.250;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.36 ;8:17.525;4;1;1:43.371;2;11:27.131;;;;;42051       ;Audi                          ;3;;;1;4;1;0;;0;0;0;0;0;0
0007;948;Müll;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Müller;Tobias;Euskirchen;;;DE-ITC-C14395;;;Nagelsdiek;Noah;Alsdorf;;PRO;DE-ITC-C24641;;;Rivas;Carlos;Luxemburg;;;LU-A1343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;00.000;;00.000;1;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;48 LOSCH Motorsport by BLACK FALCON;;Porsche 911 GT3 Cup;7;2;+02.266;+02.266;7;+12.960;+01.492;4;8:19.017;8:19.017;N;12.960;01.492;;;10:04:01;3562;10:04:01;175.723;;13;0;13;0;0;917;8:16.751;Kikireshko/Bastian Nico/Heinemann Tim;Kikireshko/Bastian Nico/Heinemann Tim;176.525;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.67 ;8:19.017;2;3;19:06.769;5;;;;;;A1754       ;Porsche                       ;1;;;0;3;1;0;;1;0;0;0;0;0
0008;921;Hoff;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Hoffmeister;Arne;Langelsheim;;"H&R Spezialfedern";DE-ITC-C19194;;;Jahn;David;Leipzig;;PRO;DE-ITC-C49468;;;Scheerbarth;Tim;Dormagen;;;DE-ITC-C26218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;4;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mühlner Motorsport;;Porsche 911 GT3 Cup;8;3;+02.446;+00.180;8;+13.140;+00.180;4;8:19.197;8:19.197;Y;13.140;00.180;;;10:05:42;3626;10:05:42;175.660;;13;0;13;0;0;917;8:16.751;Kikireshko/Bastian Nico/Heinemann Tim;Kikireshko/Bastian Nico/Heinemann Tim;176.525;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.70 ;8:19.197;2;2;24:47.127;5;;;;;;910354      ;Porsche                       ;2;;;1;1;1;0;;1;0;0;0;0;0
0009;9;Fetz;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Fetzer;Dennis;Buseck;;;DE-ITC-C24514;;;Mardenborough;Jann;Vereinigte Arabische Emirate;;;GB-ITB250654;;;Scherer;Fabio;Schweiz;;;CH-854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;00.000;1;00.000;2;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Haupt Racing Team;;Ford Mustang GT3;9;3;+11.140;+03.298;9;+14.209;+01.069;4;8:20.266;8:20.266;N;14.209;01.069;;;10:07:24;3708;10:07:24;175.284;;4;0;4;0;0;31;8:09.126;Verstappen/Lulham Christopher;Verstappen/Lulham Christopher;179.277;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.92 ;8:20.266;4;2;11:48.020;3;3:53.725;;;;;38403       ;FORD                          ;3;;;0;0;1;0;;0;0;0;0;0;0
0010;786;Nana;SP9 AM                                                      ;0000SP9 AM                                                      ;SP9 AM;;1;1;Nana;Sak;Mechernich;;;TH-IC-B083;;;Breuer;Christoph;Nettersheim;;;DE-ITC-C15557;;;'Dieter Schmidtmann';;Mechernich;;;DE-ITC-C34841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00.000;4;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Renazzo Motorsport Team;;Lamborghini Huracan GT3 Evo II;10;1;;;10;+14.310;+00.101;4;8:20.367;8:20.367;N;14.310;00.101;;;10:07:29;3712;10:07:29;175.249;;4;0;4;0;0;786;8:20.367;Nana/Breuer Christoph/'Dieter Schmidtmann' ;Nana/Breuer Christoph/'Dieter Schmidtmann' ;175.249;;1;40;40;0;34;8:06.057;Krognes/Villagomez Mateo/Buchardt Anders;Krognes/Villagomez Mateo/Buchardt Anders;180.408;102.94 ;8:20.367;4;2;13:23.252;2;1:36.671;;;;;E-C-009     ;Lamborghini                   ;2;;;1;3;1;0;;0;0;0;0;0;0
