INDEX;STNR;KUERZEL;KLASSE;KLASSESORT;KLASSE_NR;UNTERKLASSE;GRUPPE;GRUPPE_LANG;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;FAHRER1_RUNDEN;FAHRER1_ZEIT;FAHRER2_RUNDEN;FAHRER2_ZEIT;FAHRER3_RUNDEN;FAHRER3_ZEIT;FAHRER4_RUNDEN;FAHRER4_ZEIT;FAHRER5_RUNDEN;FAHRER5_ZEIT;FAHRER6_RUNDEN;FAHRER6_ZEIT;FAHRER7_RUNDEN;FAHRER7_ZEIT;FAHRER8_RUNDEN;FAHRER8_ZEIT;NATION;BEWERBER;TEAM;FAHRZEUG;RANG;KLASSENRANG;KLASSENRUECKSTAND;KLASSENGAP;GRUPPENRANG;GRUPPENRUECKSTAND;GRUPPENGAP;RUNDEN;SCHNELLSTE RUNDE;GESAMTZEIT;SEKUNDENWECHSEL;RUECKSTAND;GAP;PUNKTE;KLASSENPUNKTE;SCHNITT;SCHNELLSTE_IN_RUNDE;SCHNELLSTE_TAGESZEIT;SCHNELLSTE_SCHNITT;STATUS;KLASSE_GESTARTET;KLASSE_NICHTGESTARTET;KLASSE_GEWERTET;KLASSE_NICHTGEWERTET;GAST;KLASSE_SCHNELLSTE_STNR;KLASSE_SCHNELLSTE_ZEIT;KLASSE_SCHNELLSTE_NAME;KLASSE_SCHNELLSTE_VORNAME_NAME;KLASSE_SCHNELLSTE_SCHNITT;KLASSE_QUALIZEIT;GRUPPENBEZEICHNUNG;GRUPPE_GESTARTET;GRUPPE_GEWERTET;GRUPPE_NICHTGEWERTET;GRUPPE_SCHNELLSTE_STNR;GRUPPE_SCHNELLSTE_ZEIT;GRUPPE_SCHNELLSTE_NAME;GRUPPE_SCHNELLSTE_VORNAME_NAME;GRUPPE_SCHNELLSTE_SCHNITT;PROZENT;LETZTE_RUNDE;BOXENSTOPS;RUNDE_IN_BOX_1;BOXZEIT1;RUNDE_IN_BOX_2;BOXZEIT2;LQUALIZEIT;LQUALIRANG;LQUALIRANG_INVERT;ALTEZEIT;BEWERBERLIZENZ;HERSTELLER;AKTUELLERFAHRER;PUNKTE_POLE;PUNKTE_SCHNELLSTE;LEADINGLAPS_TOTAL;LEADINGLAPS_CLASS;STARTGRUPPE;KLASSE_VORLAEUFIG;STRAFZEITEN;PRO;PROAM;AM;AMG;PRIO;SPEZIAL
0001;3;Bach;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Bachler;Klaus;Österreich;;;AT-JA1030;;;Müller;Sven;Ockenheim;;;DE-ITC-C11220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2:32:33.846;15;2:05:27.973;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;;Porsche 911 GT3 R;1;1;;;1;;;33;7:55.359;4:38:01.819;Y;;;;;173.466;21;16:56:16;184.469;;3;0;3;0;0;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;100.00;8:12.103;4;7;3:02.359;15;3:14.349;8:22.760;5.;104.;;42330       ;Porsche                       ;1;;;11;11;1;0;;0;0;0;0;0;0
0002;4;Mars;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Marschall;Dennis;Österreich;;;DE-ITC-C12238;;;Menzel;Nico;Kelberg;;;DE-ITC-C13283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;1:57:36.622;19;2:40:30.324;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Falken Motorsports;;Porsche 911 GT3 R;2;2;+05.127;+05.127;2;+05.127;+05.127;33;7:55.118;4:38:06.946;Y;05.127;05.127;;;173.413;28;17:56:46;184.562;;3;0;3;0;0;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;100.03 ;8:09.156;4;7;3:02.385;15;3:14.398;8:10.838;1.;108.;;42330       ;Porsche                       ;2;;;19;21;1;0;;0;0;0;0;0;0
0003;6;Kolb;SP9 PRO                                                     ;0000SP9 PRO                                                     ;SP9 PRO;;1;1;Kolb;Vincent;Frankfurt am Main;;;DE-ITC-C15471;;;Stippler;Frank;Bad Münstereifel;;;DE-ITC-C18797;;;Assenheimer;Patrick;Obersulm;;;DE-ITB-10963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2:36:20.459;7;58:03.374;8;1:08:12.741;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Haupt Racing Team;;FORD Ford Mustang GT3;3;3;+4:34.755;+4:29.628;3;+4:34.755;+4:29.628;33;7:59.944;4:42:36.574;Y;4:34.755;4:29.628;;;170.655;21;16:58:46;182.706;;3;0;3;0;0;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;101.65 ;8:11.969;4;7;3:04.218;15;3:15.676;8:41.315;15.;94.;;38403       ;FORD                          ;1;;;1;1;1;0;;0;0;0;0;0;0
0004;48;Arro;SP9 PRO-AM                                                  ;0000SP9 PRO-AM                                                  ;SP9 PRO-;;1;1;Arrow;Daan;Niederlande;;;NL-IB-43634;;;Kaya;Mustafa Mehmet;Türkei;;;TR-ITB 0101042502658;;;Piana;Gabriele;Schweiz;;;IT-386645;;;Stursberg;Mike;Wermelskirchen;;;DE-ITC-C30671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1:06:30.543;9;1:19:34.332;9;1:17:33.342;7;1:00:54.859;;00.000;;00.000;;00.000;;00.000;    ;BLACK FALCON Team EAE;;Porsche 911 GT3 R;4;1;;;4;+6:31.257;+1:56.502;33;7:58.439;4:44:33.076;Y;6:31.257;1:56.502;;;169.491;31;18:27:51;183.281;;1;1;1;0;0;48;7:58.439;Arrow/Kaya Mustafa Mehmet/Piana Gabriele/Stursberg Mike;Arrow/Kaya Mustafa Mehmet/Piana Gabriele/Stursberg Mike;183.281;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;102.35 ;8:45.082;4;8;3:26.168;16;3:14.429;8:12.865;2.;107.;;51399       ;Porsche                       ;3;;;2;33;1;0;;0;0;0;0;0;0
0005;786;Nana;SP9 AM                                                      ;0000SP9 AM                                                      ;SP9 AM;;1;1;Nana;Sak;Mechernich;;;TH-IC-B083;;;Breuer;Christoph;Nettersheim;;;DE-ITC-C15557;;;'Dieter Schmidtmann';;Mechernich;;;DE-ITC-C34841;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1:01:58.281;17;2:26:27.025;8;1:09:42.075;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Renazzo Motorsport Team;;Lamborghini Huracan GT3 Evo II;5;1;;;5; 1 Rd.; 1 Rd.;32;8:01.261;4:38:07.381;Y;1 Runde;1 Runde;;;168.154;28;18:04:41;182.206;;2;0;1;1;0;786;8:01.261;Nana/Breuer Christoph/'Dieter Schmidtmann' ;Nana/Breuer Christoph/'Dieter Schmidtmann' ;182.206;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;100.03 ;8:08.927;4;7;3:06.139;15;3:16.056;8:52.359;22.;87.;;E-C-009     ;Lamborghini                   ;2;;;0;32;1;0;;0;0;0;0;0;0
0006;921;Hoff;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Hoffmeister;Arne;Langelsheim;;H&R Spezialfedern;DE-ITC-C19194;;;Jahn;David;Leipzig;;PRO;DE-ITC-C49468;;;Scheerbarth;Tim;Dormagen;;;DE-ITC-C26218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;1:18:44.851;8;1:09:02.249;15;2:10:21.541;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mühlner Motorsport;;Porsche 911 GT3 Cup;6;1;;;6; 1 Rd.;+01.260;32;8:13.336;4:38:08.641;Y;1 Runde;01.260;;;168.141;10;15:27:18;177.747;;12;0;12;0;0;948;8:12.768;Müller/Nagelsdiek Noah/Rivas Carlos;Müller/Nagelsdiek Noah/Rivas Carlos;177.951;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;100.04 ;8:31.314;3;7;2:57.714;15;3:07.629;8:21.524;4.;105.;;910354      ;Porsche                       ;3;;;0;24;1;0;;1;0;0;0;0;0
0007;948;Müll;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Müller;Tobias;Euskirchen;;;DE-ITC-C14395;;;Nagelsdiek;Noah;Alsdorf;;PRO;DE-ITC-C24641;;;Rivas;Carlos;Luxemburg;;;LU-A1343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;2:09:37.079;9;1:19:07.018;8;1:09:42.214;;00.000;;00.000;;00.000;;00.000;;00.000;    ;48 LOSCH Motorsport by BLACK FALCON;;Porsche 911 GT3 Cup;7;2;+17.670;+17.670;7; 1 Rd.;+17.670;32;8:12.768;4:38:26.311;Y;1 Runde;17.670;;;167.963;27;17:57:15;177.951;;12;0;12;0;0;948;8:12.768;Müller/Nagelsdiek Noah/Rivas Carlos;Müller/Nagelsdiek Noah/Rivas Carlos;177.951;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;100.15 ;8:20.542;3;7;2:58.861;15;3:10.132;8:15.380;3.;106.;;A1754       ;Porsche                       ;1;;;0;7;1;0;;1;0;0;0;0;0
0008;904;Pekl;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Peklin;Ivan;Dahlem;;H&R Spezialfedern;UA-ITB.28.0028.25;;;Bünnagel;Ben;Bonn;;PRO;DE-ITC-C24761;;;Waldow;Janis;Rheinbach;;;DE-ITC-C26691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1:00:52.733;17;2:29:13.770;8;1:11:19.437;;00.000;;00.000;;00.000;;00.000;;00.000;    ;Mühlner Motorsport;;Porsche 911 GT3 Cup;8;3;+3:17.299;+2:59.629;8; 1 Rd.;+2:59.629;32;8:14.962;4:41:25.940;Y;1 Runde;2:59.629;;;166.176;29;18:16:22;177.163;;12;0;12;0;0;948;8:12.768;Müller/Nagelsdiek Noah/Rivas Carlos;Müller/Nagelsdiek Noah/Rivas Carlos;177.951;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;101.22 ;8:20.801;3;7;3:01.007;15;3:08.565;8:24.982;7.;102.;;910354      ;Porsche                       ;2;;;0;0;1;0;;1;0;0;0;0;0
0009;929;Vazq;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Vazquez-Garcia;Tobias;Baesweiler;;;DE-ITC-C16898;;;Leib;Fidel;Neuravensburg;;PRO;DE-ITC-C11188;;;di Martino;Michele;Eitorf;;;DE-ITC-C22065;;;Brück;Christopher;Köln;;;DE-ITC-C25734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1:02:31.441;8;1:10:44.291;8;1:08:44.910;9;1:20:30.046;;00.000;;00.000;;00.000;;00.000;    ;Kkrämer Racing;;Porsche 911 GT3 Cup;9;4;+4:22.047;+1:04.748;9; 1 Rd.;+1:04.748;32;8:18.557;4:42:30.688;Y;1 Runde;1:04.748;;;165.541;7;15:00:29;175.885;;12;0;12;0;0;948;8:12.768;Müller/Nagelsdiek Noah/Rivas Carlos;Müller/Nagelsdiek Noah/Rivas Carlos;177.951;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;101.61 ;8:26.764;3;8;3:22.851;15;2:50.664;9:00.928;30.;79.;;48529       ;Porsche                       ;4;;;0;1;1;0;;1;0;0;0;0;0
0010;901;Grüt;CUP2                                                        ;0000CUP2                                                        ;CUP2;;1;1;Grütter;Patrik;Weil der Stadt;;;DE-ITC-C12547;;;Grosse;Fabio;Brücktal;;PRO/AM;DE-ITC-C25836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;3:33:12.755;8;1:09:37.730;;00.000;;00.000;;00.000;;00.000;;00.000;;00.000;    ;SRS Team Sorg Rennsport;;Porsche 911 GT3 Cup;10;5;+4:41.844;+19.797;10; 1 Rd.;+19.797;32;8:17.502;4:42:50.485;Y;1 Runde;19.797;;;165.348;23;17:22:15;176.258;;12;0;12;0;0;948;8:12.768;Müller/Nagelsdiek Noah/Rivas Carlos;Müller/Nagelsdiek Noah/Rivas Carlos;177.951;;1;36;32;4;4;7:55.118;Marschall/Menzel Nico;Marschall/Menzel Nico;184.562;101.73 ;8:36.059;3;8;3:21.409;16;3:08.310;8:49.732;20.;89.;;38068       ;Porsche                       ;1;;;0;0;1;0;;0;1;0;0;0;0
