STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER1_ORT;FAHRER1_SPONSORLIZENZ;FAHRER1_SPONSOR;FAHRER1_LIZENZ;FAHRER1_NATION;FAHRER1_PUNKTEWERTUNG;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER2_ORT;FAHRER2_SPONSORLIZENZ;FAHRER2_SPONSOR;FAHRER2_LIZENZ;FAHRER2_NATION;FAHRER2_PUNKTEWERTUNG;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER3_ORT;FAHRER3_SPONSORLIZENZ;FAHRER3_SPONSOR;FAHRER3_LIZENZ;FAHRER3_NATION;FAHRER3_PUNKTEWERTUNG;FAHRER4_NAME;FAHRER4_VORNAME;FAHRER4_ORT;FAHRER4_SPONSORLIZENZ;FAHRER4_SPONSOR;FAHRER4_LIZENZ;FAHRER4_NATION;FAHRER4_PUNKTEWERTUNG;FAHRER5_NAME;FAHRER5_VORNAME;FAHRER5_ORT;FAHRER5_SPONSORLIZENZ;FAHRER5_SPONSOR;FAHRER5_LIZENZ;FAHRER5_NATION;FAHRER5_PUNKTEWERTUNG;FAHRER6_NAME;FAHRER6_VORNAME;FAHRER6_ORT;FAHRER6_SPONSORLIZENZ;FAHRER6_SPONSOR;FAHRER6_LIZENZ;FAHRER6_NATION;FAHRER6_PUNKTEWERTUNG;FAHRER7_NAME;FAHRER7_VORNAME;FAHRER7_ORT;FAHRER7_SPONSORLIZENZ;FAHRER7_SPONSOR;FAHRER7_LIZENZ;FAHRER7_NATION;FAHRER7_PUNKTEWERTUNG;FAHRER8_NAME;FAHRER8_VORNAME;FAHRER8_ORT;FAHRER8_SPONSORLIZENZ;FAHRER8_SPONSOR;FAHRER8_LIZENZ;FAHRER8_NATION;FAHRER8_PUNKTEWERTUNG;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSESORT;UNTERKLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;SEKTOR6_ZEIT;SEKTOR6_BESTE_ZEIT;SEKTOR6_KMH;SEKTOR6_BESTE_SPEED;SEKTOR7_ZEIT;SEKTOR7_BESTE_ZEIT;SEKTOR7_KMH;SEKTOR7_BESTE_SPEED;SEKTOR8_ZEIT;SEKTOR8_BESTE_ZEIT;SEKTOR8_KMH;SEKTOR8_BESTE_SPEED;SEKTOR9_ZEIT;SEKTOR9_BESTE_ZEIT;SEKTOR9_KMH;SEKTOR9_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;TOPSPEED_KMH2;TOPSPEED_BESTE_SPEED2;TOPSPEED_KMH3;TOPSPEED_BESTE_SPEED3;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT;WET;PRO;PROAM;AM;AMG;PRIO;SPEZIAL;STINT;LAPINSTINT;THEORETISCHE_BESTZEIT
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;1;12:12:11.102;12:12:11.102;9:48.779;588,779;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:27.754;N;202;;1:16.136;N;178;;2:17.375;N;177;;3:49.809;N;128;;57.705;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;1;0;0;0;0;0;0;0;1;1;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;2;12:22:47.086;12:22:47.086;10:35.984;635,984;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:14.300;J;206;;1:12.378;J;193;;2:15.202;N;178;;4:32.696;N;60;;1:21.408;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;2;0;0;0;0;0;0;0;1;2;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;3;12:33:28.328;12:33:28.328;10:41.242;641,242;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:14.959;N;205;;1:12.900;N;189;;2:16.220;N;175;;4:35.849;N;60;;1:21.314;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;3;0;0;0;0;0;0;0;1;3;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;4;12:44:08.766;12:44:08.766;10:40.438;640,438;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.131;N;206;;1:12.764;N;190;;2:15.444;N;179;;4:35.588;N;59;;1:21.511;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;4;0;0;0;0;0;0;0;1;4;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;5;12:54:52.579;12:54:52.579;10:43.813;643,813;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.371;N;204;;1:13.921;N;190;;2:15.180;N;178;;4:37.338;N;59;;1:22.003;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;5;0;0;0;0;0;0;0;1;5;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;6;13:05:43.579;13:05:43.579;10:51.000;651,000;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.320;N;205;;1:13.131;N;190;;2:15.892;N;176;;4:44.650;N;59;;1:22.007;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;6;0;0;0;0;0;0;0;1;6;9:09.264
1;Mark;1;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;7;13:15:50.098;13:15:50.098;10:06.519;606,519;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:14.984;N;205;;1:13.295;N;192;;2:14.967;J;179;;4:20.574;N;201;;;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;J;0;2:07.455;41637       ;13:15:41.634;7p;0;0;0;0;0;0;0;1;7;9:09.264
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;8;13:28:26.707;13:28:26.707;12:36.609;756,609;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;3:15.709;N;203;;1:15.331;N;184;;2:39.203;N;176;;4:30.333;N;197;;56.033;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;A;0;;41637       ;;8;0;0;0;0;0;0;0;2;1;9:09.264
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;9;13:39:03.035;13:39:03.035;10:36.328;636,328;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.655;N;204;;1:14.335;N;184;;2:41.030;N;176;;4:28.820;N;198;;56.488;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;9;0;0;0;0;0;0;0;2;2;9:09.264
1;Mark;3;Markert;Sven;Berlin;;;DE-13916;;;Wambach;Kevin;Bad Hönningen;;;DE-ITC-C14827;;;Rziczny;Adrian;Neuenkirchen-Vörden;;;DE-ITC-C19927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;    ;Adrenalin Motorsport Team Mainhattan Wheels;;BMW M240i Racing Cup;10;13:49:29.449;13:49:29.449;10:26.414;626,414;N;BMW M240i                                                   ;0000BMW M240i                                                   ;;BMW M240;1:15.535;N;206;;1:13.970;N;185;;2:35.968;N;177;;4:26.138;N;198;;54.803;N;;;;;;;;;;;;;;;;;;;;N;;N;;N;9:09.264;62;N;0;;41637       ;;10;0;0;0;0;0;0;0;2;3;9:09.264
